country,designation,points,price,province,variety,winery,fill,
US,No. 1,90,200,California,Cabernet,JCB,#91C5AA,
US,Fortis,90,200,California,Cabernet,Pine Ridge,#91C5AA,
US,Audentia Estate Grown,90,200,California,Cabernet,Stags' Leap Winery,#91C5AA,
US,Estate Bottled,95,199,California,Bordeaux,Dominus,#91C5AA,
US,Estate Bottled,95,199,California,Bordeaux,Dominus,#91C5AA,
US,Private Reserve,93,199,California,Cabernet,Tobacco Road,#91C5AA,
US,Private Reserve,93,199,California,Cabernet,Tobacco Road,#91C5AA,
US,Cask 23 Estate,97,195,California,Cabernet,Stag's Leap Wine Cellars,#91C5AA,
US,Cask 23 Estate,97,195,California,Cabernet,Stag's Leap Wine Cellars,#91C5AA,
US,Ardore,96,195,California,Cabernet,Celani Family Vineyards,#91C5AA,
US,Ardore,96,195,California,Cabernet,Celani Family Vineyards,#91C5AA,
US,Reserve,94,195,California,Cabernet,Jarvis,#91C5AA,
US,Yountville Selection Estate Grown,92,195,California,Cabernet,Grgich Hills,#91C5AA,
US,Cask 23,92,195,California,Cabernet,Stag's Leap Wine Cellars,#91C5AA,
US,Cask 23,92,195,California,Cabernet,Stag's Leap Wine Cellars,#91C5AA,
US,Morisoli-Borges Vineyard,91,195,California,Cabernet,Castello di Amorosa,#91C5AA,
US,Cask 23,91,195,California,Cabernet,Stag's Leap Wine Cellars,#91C5AA,
US,Cask 23,91,195,California,Cabernet,Stag's Leap Wine Cellars,#91C5AA,
US,Era,90,195,California,Bordeaux,Alpha Omega,#91C5AA,
US,Era,90,195,California,Bordeaux,Alpha Omega,#91C5AA,
US,Hillside Select,97,190,California,Cabernet,Shafer,#91C5AA,
US,Single Vineyard,90,190,California,Cabernet,Newton,#91C5AA,
US,Single Vineyard,90,190,California,Cabernet,Newton,#91C5AA,
US,Reserve,88,190,California,Cabernet,ZD,#91C5AA,
US,Reserve,88,190,California,Cabernet,ZD,#91C5AA,
US,Joy!,97,189,California,Sparkling Blend,Iron Horse,#91C5AA,
US,Family Estate Grown,98,185,California,Cabernet,Spottswoode,#91C5AA,
US,Eisele Vineyard,96,185,California,Cabernet,Araujo,#91C5AA,
US,Estate,95,185,California,Cabernet,Hourglass,#91C5AA,
US,Pedregal Vineyard,95,185,California,Cabernet,Ramey,#91C5AA,
US,Pedregal Vineyard,95,185,California,Cabernet,Ramey,#91C5AA,
US,Grace Vineyard,95,185,Oregon,Pinot Noir,Domaine Serene,#91C5AA,
US,Relevant,95,185,California,Red Blend,Crown Point,#91C5AA,
US,Beckstoffer To Kalon Vineyard,94,185,California,Cabernet,B Cellars,#91C5AA,
US,Beckstoffer To Kalon Vineyard,94,185,California,Cabernet,B Cellars,#91C5AA,
US,Beckstoffer-Tokalon Vineyard,94,185,California,Cabernet,Paul Hobbs,#91C5AA,
US,Grace Vineyard,94,185,Oregon,Pinot Noir,Domaine Serene,#91C5AA,
US,Old Vine Estate Grown,92,185,California,Cabernet,Grgich Hills,#91C5AA,
US,Cor Leonis,90,185,California,Cabernet,Moone-Tsai,#91C5AA,
US,Beckstoffer To Kalon Vineyard,88,185,California,Cabernet,B Cellars,#91C5AA,
US,Beckstoffer To Kalon Vineyard,88,185,California,Cabernet,B Cellars,#91C5AA,
US,Ambassador's 1953 Vineyard,96,180,California,Chardonnay,Hanzell,#91C5AA,
US,Ambassador's 1953 Vineyard,96,180,California,Chardonnay,Hanzell,#91C5AA,
US,Estate Bottled,94,180,California,Cabernet,Far Niente,#91C5AA,
